article_id,sentence_id,sentence_text,start_char,end_char,label,technique,risk_score
article699142854,17,"Only then, almost as an afterthought, did he announce that he was decertifying Iranian compliance with the nuclear deal, setting the conditions for the renewal of congressional sanctions on Iran and opening the floodgates of congressional sanctions on Iran in retaliation for the full spectrum of its aggressive and illicit acts against the US, its interests and allies.",2848,3218,0,None,0
article699142854,18,"By empowering Congress to prohibit economic cooperation with Iran, Trump put the Europeans, Chinese and Russians on notice that they may soon face a choice between conducting business with the US and conducting business with Iran.",3220,3450,0,None,0
article699142854,19,"After putting them on notice, Trump discussed the possibility of improving Obama’s nuclear accord.",3452,3550,0,None,0
article699142854,20,"Among other things, he suggested expanding the inspection regime against Iran’s nuclear installations and canceling the so-called “sunset” clause that places an end date on the restrictions governing certain components of Iran’s nuclear advancement.",3551,3800,0,None,0
article699142854,21,"Trump’s address has the potential to serve as the foundation of a major, positive shift in US policy toward Iran.",3802,3915,0,None,0
article699142854,22,"Such a shift could potentially facilitate the achievement of Trump’s goals of preventing Iran from acquiring nuclear weapons, containing its regional aggression and empowerment and defeating its terrorist proxies.",3916,4129,0,None,0
article699142854,23,"Unfortunately, it is also likely, indeed, it is more likely, that his words will not be translated into policies to achieve these critical aims.",4131,4275,0,None,0
article699142854,24,Trump’s decision to transfer immediate responsibility to Congress for holding Iran accountable for its hostile actions on the military and other fronts is a risky move.,4277,4445,0,None,0
article699142854,25,"He has a lot of enemies, and the nuclear deal has a lot of supporters on Capitol Hill.",4446,4532,0,None,0
article699142854,26,"Obama would have never been able to implement his nuclear deal if Senator Bob Corker, chairman of the Senate Foreign Affairs Committee, hadn’t agreed to cast the Constitution aside and ignore Obama’s constitutional duty to present the nuclear deal to the Senate for ratification as a treaty.",4534,4825,1,Exaggeration,40
article699142854,27,"Over the past week, Trump and Corker have been involved in an ugly public fight precipitated by Corker’s announcement that he will not be seeking reelection next year.",4827,4994,0,None,0
article699142854,28,Today Corker has nothing to restrain him from scuttling Trump’s agenda.,4996,5067,0,None,0
article699142854,29,"If he wishes, out of spite, Corker can block effective sanctions from being passed.",5068,5151,0,None,0
article699142854,30,And he may do so even though the implications for his Senate colleagues would be dire and even though doing so would render him an unofficial protector of Iran’s nuclear program.,5152,5330,0,None,0
article699142854,31,What is true for Corker is doubly true for the Democrats.,5332,5389,0,None,0
article699142854,32,"Leading Democratic senators like Robert Menendez, Ben Cardin and Chuck Schumer, who opposed Obama’s Iran deal may now feel that as opponents of the Trump administration, they are required to oppose any change to the Iran Nuclear Agreement Review Act.",5391,5641,0,None,0
article699142854,33,"Indeed, given the rise of radical forces in their party it is likely that they would rather give Iran a free pass for its anti-American aggression and nuclear proliferation than work with Republicans on Capitol Hill and in the White House.",5643,5882,0,None,0
article699142854,34,"Then again, by framing the issue of Iran’s threat to America as he did, and by transferring responsibility for reinstating sanctions and passing further sanctions on Iran to Congress, Trump opened up the possibility that Congress will conduct substantive – rather than personal – debates on Iran.",5884,6180,1,"Loaded Language, Fear Appeal",70
article699142854,35,"And the more substantive those debates become, the further away the US discourse will move from the mendacious assumptions of Obama’s Iran policy – that the Iranian regime is a responsible actor and potential US ally, and that there is nothing inherently aggressive or problematic about Iran’s illicit nuclear weapons program.",6182,6508,0,None,0
article699142854,36,"The second major risk inherent in Trump’s approach is that he will get his way; that the Europeans, Russians and Chinese and the Iranians will agree to improve the nuclear deal.",6510,6687,0,None,0
article699142854,37,The problem here is not obvious.,6688,6720,0,None,0
article699142854,38,"Clearly, it is better if the deal is amended to delete the sunset clauses and expand the inspections regime.",6721,6829,0,None,0
article699142854,39,"Yet even an amended, improved deal will still serve as a shield to Iran’s nuclear program.",6831,6921,0,None,0
article699142854,40,An improved deal won’t destroy Iran’s centrifuges.,6922,6972,1,"Loaded Language, Fear Appeal",70
article699142854,41,It won’t take away Iran’s enriched uranium.,6974,7017,0,None,0
article699142854,42,It won’t destroy Iran’s nuclear installations.,7018,7064,1,"Loaded Language, Fear Appeal",70
article699142854,43,"And it won’t bring down the regime which by its nature ensures all of these things will remain a menace to the US, its allies and international security as a whole.",7065,7229,0,None,0
article699142854,44,"So long as the US continues to maintain a policy based on the false view that all that is necessary to destroy the threat of a nuclear armed Iran is a combination of the nuclear deal and economic sanctions, it will continue to ensure that Iran and its nuclear program remain a major threat.",7231,7521,1,"Loaded Language, Fear Appeal",70
article699142854,45,"Distressingly, US Ambassador to the UN Nikki Haley, the most outspoken supporter of decertifying Iranian compliance in the Trump administration, told NBC on Sunday that the US intends to remain in the nuclear deal.",7522,7736,0,None,0
article699142854,46,To understand what must be done we must return to Trump’s speech and its strategic significance.,7738,7834,1,General Persuasion,35
article699142854,47,By taking a holistic view of the Iranian threat – grounded in a recognition of the inherent hostility of the regime – Trump opened up the possibility that the US and its allies can develop a holistic policy for confronting and defeating Iran and its proxies.,7836,8094,1,"Loaded Language, Fear Appeal",70
article699142854,48,"If the Iran deal and sanctions are two components to a larger strategy rather than the entire strategy, they can be helpful.",8095,8219,0,None,0
article699142854,49,"A wider strategy would target Iran’s regional aggression by weakening its proxies and clients from Hezbollah and Hamas to the regimes in Iraq, Yemen, Syria and Lebanon.",8221,8389,0,None,0
article699142854,50,It would target the regime itself by empowering the ayatollahs’ domestic opponents.,8390,8473,0,None,0
article699142854,51,It would pin down Iranian forces by arming and otherwise assisting the Iraqi Kurds to defend and maintain their control over their territory along the Iranian border while strengthening the ties between Iranian Kurds and Iraqi Kurds.,8474,8707,0,None,0
article699142854,52,"Friday, Trump created the possibility for such a strategy.",8709,8767,0,None,0
article699142854,53,"It is up to members of Congress, and US allies like Israel and the Sunni Arab states to help Trump conceive and implement it.",8768,8893,0,None,0
article699142854,54,"If they fail, the possibility Trump created will be lost, perhaps irrevocably.",8894,8972,0,None,0
article699291100,0,"FBI Informant “Threatened” After Offering Details Linking Clinton Foundation To Russian Bribery Case

This report was originally published by Tyler Durden at Zero Hedge
While the mainstream media has largely ignored it, the scandal surrounding Russian efforts to acquire 20% of America’s uranium reserves, a deal which was ultimately approved by the Obama administration, and more specifically the Committee on Foreign Investment in the United States (CFIUS) which included Hillary Clinton and Eric Holder, is becoming more problematic for Democrats by the hour.",0,562,1,"Loaded Language, Fear Appeal",70
article699291100,1,"As The Hill pointed out earlier this morning, the latest development in this sordid tale revolves around a man that the FBI used as an informant back in 2009 and beyond to build a case against a Russian perpetrator who ultimately admitted to bribery, extortion and money laundering.",563,845,0,None,0
article699291100,2,"The informant, who is so far only known as “Confidential Source 1,” says that when he attempted to come forward last year with information that linked the Clinton Foundation directly to the scandal he was promptly silenced by the FBI and the Obama administration.",846,1109,0,None,0
article699291100,3,"Working as a confidential witness, the businessman made kickback payments to the Russians with the approval of his FBI handlers and gathered other evidence, the records show.",1110,1284,0,None,0
article699291100,4,"Sources told The Hill the informant’s work was crucial to the government’s ability to crack a multimillion dollar racketeering scheme by Russian nuclear officials on U.S. soil that involved bribery, kickbacks, money laundering and extortion.",1285,1526,0,None,0
article699291100,5,"In the end, the main Russian executive sent to the U.S. to expand Russian President Vladimir Putin’s nuclear business, an executive of an American trucking firm and a Russian financier from New Jersey pled guilty to various crimes in a case that started in 2009 and ended in late 2015.",1527,1812,0,None,0
article699291100,6,Toensing added her client has had contact from multiple congressional committees seeking information about what he witnessed inside the Russian nuclear industry and has been unable to provide that information because of the NDA.,1813,2041,0,None,0
article699291100,7,"“He can’t disclose anything that he came upon in the course of his work,” she said.",2042,2125,0,None,0
article699291100,8,The information the client possesses includes specific allegations that Russian executives made to him about how they facilitated the Obama administration’s 2010 approval of the Uranium One deal and sent millions of dollars in Russian nuclear funds to the U.S. to an entity assisting Bill Clinton’s foundation.,2126,2436,0,None,0
article699291100,9,"At the time, Hillary Clinton was serving as secretary of State on the government panel that approved the deal, the lawyer said.",2437,2564,0,None,0
article699291100,10,"It has been previously reported that Bill Clinton accepted $500,000 in Russian speaking fees in 2010 and collected millions more in donations for his foundation from parties with a stake in the Uranium One deal, transactions that both the Clintons and the Obama administration denied had any influence on the approval.",2565,2883,0,None,0
article699291100,11,"In the midst of the new discoveries revealed yesterday about the Uranium One case (see: FBI Uncovered Russian Bribery Plot Before Obama Approved Uranium One Deal, Netting Clintons Millions), “Confidential Source 1” has once again hired an attorney, Victoria Toensing, a former Reagan Justice Department official and former chief counsel of the Senate Intelligence Committee, to get his story out.",2884,3280,0,None,0
article699291100,12,"Sitting down with The Hill earlier, Toensing said that the last time her client tried to speak out “both his reputation and liberty” were “threatened” by the Obama administration in a effort to force his silence.",3281,3493,1,"Loaded Language, Fear Appeal",70
article699291100,13,"“All of the information about this corruption has not come out,” she said in an interview Tuesday.",3494,3592,1,"Loaded Language, Name Calling",65
article699291100,14,"“And so my client, the same part of my client that made him go into the FBI in the first place, says, ‘This is wrong.",3593,3710,0,None,0
article699291100,15,"What should I do about it?’”
Toensing said she also possesses memos that recount how the Justice Department last year threatened her client when he attempted to file a lawsuit that could have drawn attention to the Russian corruption during the 2016 presidential race as well as helped him recover some of the money Russians stole from him through kickbacks during the FBI probe.",3711,4090,1,"Loaded Language, Fear Appeal, Name Calling",90
article699291100,16,"The undercover client witnessed “a lot of bribery going on around the U.S.” but was asked by the FBI to sign a nondisclosure agreement (NDA) that prevents him from revealing what he knows to Congress, Toensing explained.",4091,4311,0,None,0
article699291100,17,"When he tried to bring some of the allegations to light in the lawsuit last year, “the Obama Justice Department threatened him with loss of freedom.",4312,4460,1,"Loaded Language, Fear Appeal",70
article699291100,18,"They said they would bring a criminal case against him for violating an NDA,” she added.",4461,4549,0,None,0
article699291100,19,Emails obtained by The Hill show that a civil attorney working with the former undercover witness described the pressure the Justice Department exerted to keep the client from disclosing to a federal court what he knew last summer.,4550,4781,0,None,0
article699291100,20,"“The government was taking a very harsh position that threatened both your reputation and liberty,” the civil lawyer wrote in one email.",4782,4918,1,"Loaded Language, Fear Appeal",70
article699291100,21,"In another, she added, “As you will recall the gov’t made serious threats sufficient to cause you to withdraw your civil complaint.”
As we pointed out last summer when Peter Schweizer first released his feature documentary Clinton Cash, the Uranium One deal at the center of this scandal is believed to have netted the Clintons and their Clinton Foundation millions of dollars in donations and ‘speaking fees’ from Uranium One shareholders and other Russian entities.",4919,5386,1,"Loaded Language, Fear Appeal",70
article699291100,22,"Russian Purchase of US Uranium Assets in Return for $145mm in Contributions to the Clinton Foundation – Bill and Hillary Clinton assisted a Canadian financier, Frank Giustra, and his company, Uranium One, in the acquisition of uranium mining concessions in Kazakhstan and the United States.",5387,5677,0,None,0
article699291100,23,"Subsequently, the Russian government sought to purchase Uranium One but required approval from the Obama administration given the strategic importance of the uranium assets.",5678,5851,0,None,0
article699291100,24,"In the run-up to the approval of the deal by the State Department, nine shareholders of Uranium One just happened to make $145mm in donations to the Clinton Foundation.",5852,6020,0,None,0
article699291100,25,"Moreover, the New Yorker confirmed that Bill Clinton received $500,000 in speaking fees from a Russian investment bank, with ties to the Kremlin, around the same time.",6021,6188,0,None,0
article699291100,26,"Needless to say, the State Department approved the deal giving Russia ownership of 20% of U.S. uranium assets.",6189,6299,0,None,0
article699291100,27,"Meanwhile, the ‘journalists’ over at CNN are still trying to get to the bottom of exactly who spent the $100,000 on Facebook ads…",6300,6429,0,None,0
article699478811,0,"Iranian Aggression Intensifies

Last July, Major General Mohammad Bagheri, the Iranian Revolutionary Guards (IRGC) military commander and chief of staff of Iran’s armed forces, warned that “putting the Revolutionary Guard in the terrorist lists with terrorist groups can be very costly to the United States and its military bases and forces in the region.” IRGC commander Mohammad Ali Jafari said on October 8th that ""if the news is correct about the stupidity of the American government in considering the Revolutionary Guards a terrorist group, then the Revolutionary Guards will consider the American army to be like Islamic State all around the world.""",0,656,0,None,0
article699478811,1,"The next day the Iranian regime warned of a ""crushing"" response if the United States were to designate the IRGC as a terrorist organization.",657,797,0,None,0
article699478811,2,President Trump has called the Iranian regime’s bluff with his announcement last week that he would do just that.,798,911,0,None,0
article699478811,3,Designating the IRGC as a terrorist organization and imposing new sanctions for its aggressive actions in the region is not a restoration of the sanctions lifted by the Obama administration as part of its disastrous nuclear deal with Iran.,912,1151,0,None,0
article699478811,4,"If Iran insists it can do what it wants militarily in terms of missile launches, support of terrorist groups such as Hezbollah and Hamas, and arms transfers without violating the nuclear deal, then the United States can certainly act to curb such activities through financial pressure.",1152,1437,0,None,0
article699478811,5,"The U.S. can impose sanctions against the Iranian regime’s principal instrument for projecting aggressive, destabilizing force outside of its borders without violating the nuclear deal.",1438,1623,0,None,0
article699478811,6,"The Iranian regime does not see it that way, however.",1624,1677,0,None,0
article699478811,7,"With the lifting of the nuclear-related sanctions making available billions of dollars to Iran’s leaders to further finance the IRGC’s exploits in Iraq, Syria, Lebanon, Yemen and elsewhere, the regime is furious that the Trump administration is tightening the financial screws again, even if for reasons not directly related to Iran’s compliance with the terms of the nuclear deal.",1678,2059,0,None,0
article699478811,8,"Thus, it is threatening U.S. forces and bases in the region.",2060,2120,1,"Loaded Language, Fear Appeal",70
article699478811,9,A couple of seemingly unrelated events this past week point to Iran’s positioning itself for more aggressive military actions that could place U.S. forces in harm’s way.,2121,2290,0,None,0
article699478811,10,"On Tuesday, Major General Bagheri landed in Damascus for talks with Syrian President Bashar Assad and senior Syrian officials, including the defense minister and the chief of staff of the Syrian armed forces.",2291,2499,0,None,0
article699478811,11,Bagheri is quoted as saying that his visit’s purpose was to “put a joint strategy on continuing co-ordination and co-operation at the military level.” Some experts on Iran believe that Bagheri’s visit to Damascus at this time is intended to reinforce a message that Iran will continue to supply weaponry to Syria and to reinforce the presence of its terrorist proxy Hezbollah in Syria.,2500,2885,0,None,0
article699478811,12,"This will not only serve to bolster the Assad regime, but it also will strengthen Iran's ability to follow through on its threats to the U.S. and its allies, principally Israel.",2886,3063,1,"Loaded Language, Fear Appeal",70
article699478811,13,"Meanwhile, following the departure of the Kurds from Kirkuk, Iraq earlier this week, the IRGC’s operational Al Qods arm reportedly established a command center and five bases there.",3064,3245,0,None,0
article699478811,14,"According to Debkafile, this constitutes “the first military facility Iran has ever established openly in Iraq.” The Kirkuk region holds 45 percent of Iraqi’s oil.",3246,3409,0,None,0
article699478811,15,"The Iraqi branch of Iran’s terrorist proxy Hezbollah has vowed that once ISIS is defeated it will start killing Americans, as it has done before.",3410,3555,0,None,0
article699478811,16,It is against this backdrop that U.S. ambassador to the United Nations Nikki Haley used her entire speech to the UN Security Council on Wednesday to denounce the Iranian regime on multiple grounds.,3556,3753,0,None,0
article699478811,17,"The session was supposed to be devoted to the Israeli-Palestinian conflict, but Ambassador Haley departed from the monthly ritual during which Israel is normally singled out for criticism by other Council members.",3754,3967,0,None,0
article699478811,18,She went after Iran instead.,3968,3996,0,None,0
article699478811,19,"She explained why the Trump administration decided to take “a comprehensive approach to confronting the Iranian regime,” which does not give the regime a get out of jail free card even if it is in technical compliance with the loophole-ridden nuclear deal agreed to by the Obama administration.",3997,4291,0,None,0
article699478811,20,"“We can’t talk about stability in the Middle East without talking about Iran,” Ambassador Haley said.",4292,4393,0,None,0
article699478811,21,“That’s because nearly every threat to peace and security in the Middle East is connected to Iran’s outlaw behavior.,4394,4510,1,"Loaded Language, Fear Appeal",70
article699478811,22,"The United States has now embarked on a course that attempts to address all aspects of Iran’s destructive conduct, not just one aspect.",4511,4646,0,None,0
article699478811,23,It’s critical that the international community do the same.,4647,4706,0,None,0
article699478811,24,Judging Iran by the narrow confines of the nuclear deal misses the true nature of the threat.,4707,4800,1,"Loaded Language, Fear Appeal",70
article699478811,25,"Iran must be judged in totality of its aggressive, destabilizing, and unlawful behavior.",4801,4889,1,General Persuasion,35
article699478811,26,"To do otherwise would be foolish.”
Ambassador Haley accused the Iranian regime of continuing to “play” the Security Council.",4890,5014,0,None,0
article699478811,27,“Iran hides behind its assertion of technical compliance with the nuclear deal while it brazenly violates the other limits on its behavior.,5015,5154,0,None,0
article699478811,28,And we have allowed them to get away with it.,5155,5200,0,None,0
article699478811,29,"This must stop.”
Ambassador Haley proceeded to list various violations by the Iranian regime of Security Council resolutions pertaining to the transfer of conventional weapons from Iran and the arming of terrorist groups, including the Houthi rebels in Yemen and Hezbollah.",5201,5474,1,General Persuasion,35
article699478811,30,She also pointed to what she called the Iranian regime’s “most threatening act” – its launch of ballistic missiles capable of carrying nuclear weapons.,5475,5626,1,"Loaded Language, Fear Appeal",70
article699478811,31,"“When a rogue regime starts down the path of ballistic missiles, it tells us that we will soon have another North Korea on our hands,” Ambassador Haley said.",5627,5784,0,None,0
article699478811,32,"“If it is wrong for North Korea to do this, why doesn’t that same mentality apply to Iran?",5785,5875,0,None,0
article699478811,33,"“
As for the Iran’s supposed technical compliance with its commitments under the nuclear deal itself, known as the Joint Comprehensive Plan of Action (JCPOA), the UN’s international inspectors are not able to visit Iran’s military sites.",5876,6113,0,None,0
article699478811,34,Past work on nuclear explosive trigger devices appears to have taken place at one or more such sites in the past.,6114,6227,0,None,0
article699478811,35,"International Atomic Energy Agency (IAEA) Director General Yukiya Amano admitted last month that when it comes to the IAEA’s capacity to check whether Iran was conducting work on a nuclear explosive device, his agency’s “tools are limited.” The Iranian regime has also attempted to skirt the restrictions in the JCPOA on its procurement of materials, equipment, goods and technology related to Iran’s nuclear activities.",6228,6648,0,None,0
article699478811,36,"The Heritage Foundation noted in its recent report on the JCPOA, for example, that Iran was “caught red-handed trying to purchase nuclear technology and restricted ballistic missile technology from German companies.”
U.S. intelligence had discovered North Korea’s transfer of missile parts to Iran at the very same time that Iran was negotiating the nuclear deal, in clear violation of UN Security Council resolutions then in effect.",6649,7082,0,None,0
article699478811,37,The Obama administration chose to look the other way.,7083,7136,0,None,0
article699478811,38,Does anybody with a modicum of sense really believe that such collaboration between the two rogue nations is not going on today?,7137,7265,0,None,0
article699478811,39,"Iran is flush with cash, thanks to the JCPOA.",7266,7311,0,None,0
article699478811,40,It wants to build out its missile and nuclear enrichment capabilities.,7312,7382,0,None,0
article699478811,41,"In addition to covert transfers of materials and technology to Iran in violation of the nuclear deal, the JCPOA may provide a loophole for Iran to exploit in outsourcing some of the development work to North Korea for hard currency, which North Korea desperately needs.",7383,7652,0,None,0
article699478811,42,They are a perfect match for each other.,7653,7693,0,None,0
article699478811,43,Proponents of the JCPOA argue that exiting the nuclear deal unless it is changed to the Trump administration’s satisfaction would undermine U.S. credibility with North Korea and thereby kill any chance of negotiations to resolve the crisis caused by North Korea's continued testing of sophisticated nuclear arms and ballistic missiles.,7694,8029,1,"Loaded Language, Fear Appeal",70
article699478811,44,"""If we want to talk to North Korea now, the possible end for the nuclear deal with Iran would jeopardize the credibility of such treaties,"" Reuters quoted German Foreign Minister Sigmar Gabriel as saying.",8030,8234,0,None,0
article699478811,45,Germany is one of the parties to the JCPOA.,8235,8278,0,None,0
article699478811,46,Other European allies have voiced similar concerns.,8279,8330,0,None,0
article699478811,47,So have Obama’s former Secretaries of State Hillary Clinton and John Kerry.,8331,8406,0,None,0
article699478811,48,This argument is absurd on its face.,8407,8443,0,None,0
article699478811,49,"The whole point is to prevent Iran from becoming the next North Korea, not to kick the can down the road as usual.",8444,8558,0,None,0
article699478811,50,North Korea’s aggressive pursuit of nuclear weapons and of intercontinental ballistic missiles equipped with nuclear warheads proves that weak agreements full of front-loaded goodies rewarding rogue regimes for elusive promises are worthless.,8559,8801,0,None,0
article700387229,0,"Madagascar Hospitals On High Alert: ‘No One Is Safe’ From The Black Plague

Travelers are being warned to keep their distance from areas of Madagascar affected by the bubonic plague.",0,182,0,None,0
article700387229,1,"As the outbreak worsens, some doctors are even warning that “no one is safe” from the disease.",183,277,0,None,0
article700387229,2,"The outbreak of the black plague in Madagascar has so far killed 97 people, and doctors are warning that it will be continuing to spread and worsen, meaning no one is safe.",278,450,0,None,0
article700387229,3,"Health officials say the disease, which contributed to the deaths of more than 50 million people in Europe during the Middle Ages, has spread from rural areas to the more urban areas not usually affected.",451,655,0,None,0
article700387229,4,"Hundreds of cases are reported on the tropical island every year, but experts are warning the epidemic is “much more dangerous” than in previous years.",656,807,1,"Loaded Language, Fear Appeal",70
article700387229,5,Officials have reported infections in 17 of the island nation’s 22 regions since the outbreak started in August.,808,920,0,None,0
article700387229,6,"And the number of cases is growing by the day, said Elhadj As Sy, the secretary general of the International Federation of Red Cross and Red Crescent Societies (IFRC) as the nation put all hospitals on high alert.",921,1134,0,None,0
article700387229,7,The hospitals have also begun implementing preventative measures with attempts to stall the spread of the bacterial infection.,1135,1261,0,None,0
article700387229,8,The IFRC said it’s introducing the same “safe and dignified” burial methods used in West Africa during the 2014 Ebola epidemic.,1262,1389,0,None,0
article700387229,9,This helps cut the chain of transmission by preventing further infections through direct contact with infected corpses.,1390,1509,0,None,0
article700387229,10,"Last week, less than 60 people had died and around 600 had been infected.",1510,1583,0,None,0
article700387229,11,"Now, there are 911 confirmed cases in addition to the almost 100 deaths.",1584,1656,0,None,0
article700387229,12,"While cases of bubonic plague occur in Madagascar nearly every year, the much more dangerous and deadly pneumonic plague has never been so prevalent.",1657,1806,1,"Loaded Language, Fear Appeal, Exaggeration",80
article700387229,13,"It arrived earlier than expected this year, and has become much more contagious with it being transmitted from person to person through the air.",1807,1951,0,None,0
article700387229,14,Pneumonic plague is the most life-threatening form of the infection caused by the manifestation of a Yersinia pestis bacterial infection.,1952,2089,1,"Loaded Language, Fear Appeal",70
article700387229,15,"Although the black plague can be treated effectively with antibiotics, the incubation time of this bacteria is incredibly short.",2090,2218,0,None,0
article700387229,16,Death often occurs within 12-24 hours of becoming infected.,2219,2278,0,None,0
article700387229,17,"The bubonic strain of the disease is spread through the bites of infected fleas, whereas the more contagious and deadly pneumonic type is spread through the coughing or sneezing of an infected person.",2279,2479,0,None,0
article700387229,18,"Elhadj As Sy said that overcoming the epidemic would require long-term help, not “just intervening at the peak and then forgetting about it”.",2480,2621,0,None,0
article700387229,19,"Dr. Manitra Rakotoarivony, Madagascar’s director of health promotion, said: “Normally, people who catch the plague live in poor areas, but people in every place in society are catching the disease.”
Jimmy Whitworth, professor of International Public Health at the London School of Hygiene and Tropical Medicine, told The Sun: “It has been a long time since we have seen the plague in an urban environment.",2622,3027,0,None,0
article700387229,20,"Although health officials have said that internationally, the threat is still fairly low, they’ve also said no one in Madagascar is safe, including travelers, spiking concerns over a possible global pandemic.",3028,3236,1,"Loaded Language, Fear Appeal, Exaggeration",80
article700461600,0,America's Immigration Voice.,0,28,0,None,0
article700461600,1,"The Kurds have no friends but the mountains, is an old lament .",30,93,0,None,0
article700461600,2,"Last week, it must have been very much on Kurdish minds.",94,150,1,General Persuasion,35
article700461600,3,"As their U.S. allies watched, the Kurdish peshmerga fighters were run out of Kirkuk and all the territory they had captured fighting ISIS alongside the Americans.",151,313,0,None,0
article700461600,4,The Iraqi army that ran them out was trained and armed by the United States.,314,390,0,None,0
article700461600,5,"The U.S. had warned the Kurds against holding the referendum on independence on Sept. 25, which carried with 92 percent.",391,511,0,None,0
article700461600,6,Iran and Turkey had warned against an independent Kurdistan that could be a magnet for Kurdish minorities in their own countries.,512,641,0,None,0
article700461600,7,But the Iraqi Kurds went ahead.,642,673,0,None,0
article700461600,8,"Now they have lost Kirkuk and its oil, and their dream of independence is all but dead.",674,761,0,None,0
article700461600,9,More troubling for America is the new reality revealed by the rout of the peshmerga.,762,846,0,None,0
article700461600,10,"Iraq, which George W. Bush and the neocons were going to fashion into a pro-Western democracy and American ally, appears to be as close to Iran as it is to the United States.",847,1021,0,None,0
article700461600,11,"After 4,500 U.S. dead, scores of thousands wounded and a trillion dollars sunk, our 15-year war in Iraq could end with a Shiite-dominated Baghdad aligned with Tehran.",1022,1188,0,None,0
article700461600,12,"With that grim prospect in mind, Secretary Rex Tillerson said Sunday , ""Iranian militias that are in Iraq, now that the fight against ... ISIS is coming to a close ... need to go home.",1189,1373,0,None,0
article700461600,13,"Any foreign fighters in Iraq need to go home.""",1374,1420,0,None,0
article700461600,14,"Tillerson meant Iran's Quds Force in Iraq should go home, and the Shiite militia in Iraq should be conscripted into the army.",1421,1546,0,None,0
article700461600,15,But what if the Baghdad regime of Haider al-Abadi does not agree?,1547,1612,0,None,0
article700461600,16,What if the Quds Force does not go home to Iran and the Shiite militias that helped retake Kirkuk refuse to enlist in the Iraqi army?,1613,1746,0,None,0
article700461600,17,Who then enforces Tillerson's demands?,1747,1785,0,None,0
article700461600,18,Consider what is happening in Syria.,1786,1822,0,None,0
article700461600,19,"The U.S.-backed Syrian Democratic Forces, largely Kurdish, just annihilated ISIS in Raqqa and drove 60 miles to seize Syria's largest oil field, al-Omar, from ISIS.",1823,1987,0,None,0
article700461600,20,The race is now on between the SDF and Bashar Assad's army to secure the border with Iraq.,1988,2078,0,None,0
article700461600,21,Bottom line: The U.S. goal of crushing the ISIS caliphate is almost attained.,2079,2156,0,None,0
article700461600,22,"But if our victory in the war against ISIS leaves Iran in the catbird seat in Baghdad and Damascus, and its corridor from Tehran to Baghdad, Damascus and Beirut secure, is that really a victory?",2157,2351,0,None,0
article700461600,23,"Do we accept that outcome, pack up and go home?",2352,2399,0,None,0
article700461600,24,Or do we leave our forces in Syria and Iraq and defy any demand from Assad to vacate his country?,2400,2497,0,None,0
article700461600,25,"Sunday's editorial in The Washington Post, ""The Next Mideast Wars,"" raises the crucial questions now before us.",2498,2609,0,None,0
article700461600,26,Would President Trump be willing to fight a new war to keep Iran from consolidating its position in Iraq and Syria?,2610,2725,0,None,0
article700461600,27,Would the American people support such a war with U.S. troops?,2726,2788,0,None,0
article700461600,28,"Would Congress, apparently clueless to the presence of 800 U.S. troops in Niger, authorize a new U.S. war in Syria or Iraq?",2789,2912,0,None,0
article700461600,29,"If Trump and his generals felt our vital interests could not allow Syria and Iraq to drift into the orbit of Iran, where would we find allies for such a fight?",2913,3072,0,None,0
article700461600,30,"If we rely on the Kurds in Syria, we lose NATO ally Turkey, which regards Syria's Kurds as collaborators of the PKK in Turkey, which even the U.S. designates a terrorist organization.",3073,3256,0,None,0
article700461600,31,"The decision as to whether this country should engage in new post-ISIS wars in the Mideast, however, may be taken out of our hands.",3257,3388,0,None,0
article700461600,32,"Saturday, Israel launched new air strikes against gun positions in Syria in retaliation for shells fired into the Golan Heights.",3389,3517,0,None,0
article700461600,33,"Damascus claims that Israel's ""terrorist"" allies inside Syria fired the shells, to give the IDF an excuse to attack.",3518,3634,1,Fear Appeal,55
article700461600,34,Why would Israel wish to provoke a war with Syria?,3635,3685,0,None,0
article700461600,35,Because the Israelis see the outcome of the six-year Syrian civil war as a strategic disaster.,3686,3780,1,Loaded Language,45
article700461600,36,"Hezbollah, stronger than ever, was part of Assad's victorious coalition.",3781,3853,0,None,0
article700461600,37,Iran may have secured its land corridor from Tehran to Beirut.,3854,3916,0,None,0
article700461600,38,Its presence in Syria could now be permanent.,3917,3962,0,None,0
article700461600,39,And only one force in the region has the power to reverse the present outcome of Syria's civil war--the United States.,3963,4081,0,None,0
article700461600,40,"Bibi Netanyahu knows that if war with Syria breaks out, a clamor will arise in Congress to have the U.S. rush to Israel's aid.",4082,4208,0,None,0
article700461600,41,"""A failure by the United States to defend its allies or promote new political arrangements for (Syria and Iraq) will lead only to more war, the rise of new terrorist threats, and, ultimately, the necessity of more U.S.",4209,4427,1,"Loaded Language, Fear Appeal",70
article700461600,42,"intervention.""",4428,4442,0,None,0
article700461600,43,Closing its Sunday editorial the Post instructed the president:The interventionist Post is saying: The situation is intolerable.,4443,4571,0,None,0
article700461600,44,"Confront Assad and Iran now, or fight them later.",4572,4621,0,None,0
article700461600,45,Trump is being led to the Rubicon.,4622,4656,0,None,0
article700461600,46,"If he crosses, he joins Bush II in the history books.",4657,4710,0,None,0
article700461600,47,"Patrick J. Buchanan needs no introduction to VDARE.COM readers; his books
and
are available from Amazon.com.",4711,4819,0,None,0
