Sentence,Technique,Risk Score,Risk Level,Explanation,Neutral Rewrite
"Yet, from the very beginning, the mainstream media has never given any serious consideration to the possibility that Oswald was framed for the crime.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Yet, from the  beginning, the mainstream media has never given any serious consideration to the possibility that Oswald was framed for the crime."
Too bad the mainstream press has never given that manual the consideration it deserves.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,Too bad the mainstream press has never given that manual the consideration it deserves.
"Puerto Rico’s Power Grid Failure Is Causing A Public Health Crisis Of Epic Proportions

One month after the devastating Hurricane Maria wreaked havoc on the island of Puerto Rico, the territory is still facing a public health crisis.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Puerto Rico’s Power Grid Failure Is Causing A Public Health issue Of Epic Proportions One month after the devastating Hurricane Maria wreaked havoc on the island of Puerto Rico, the territory is still facing a public health crisis."
And it’s a crisis of epic proportions.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,And it’s a issue of epic proportions.
It illuminates just a small sliver of the public health crisis Puerto Rico is currently facing.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,It illuminates just a small sliver of the public health issue Puerto Rico is currently facing.
"“Even before Hurricanes Irma and Maria hit the U.S. territories, the islands’ health care system was suffering from the ongoing economic crisis.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"“Even before Hurricanes Irma and Maria hit the U.S. territories, the islands’ health care system was suffering from the ongoing economic crisis."
"“We are grateful for the public health emergency declaration in Puerto Rico and the U.S. Virgin Islands, but more can and should be done to help Americans impacted by these disasters.”
The senators stressed that much of the islands’ power and communication networks are out and, according to the Federal Emergency Management Agency (FEMA), it will take months before power is fully restored.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"“We are grateful for the public health emergency declaration in Puerto Rico and the U.S. Virgin Islands, but more can and should be done to help Americans impacted by these disasters.” The senators stressed that much of the islands’ power and communication networks are out and, according to the Federal Emergency Management Agency (FEMA), it will take months before power is fully restored."
"The looming crisis seems to be getting worse, not better, and Puerto Rico is experiencing a medical crisis of epic proportions.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The looming issue seems to be getting worse, not better, and Puerto Rico is experiencing a medical issue of epic proportions."
"You should learn to call them by their real name, ‘Satan.’ You’re coming face to face with Satan, the Arch Deceiver, the enemy of God, and the enemy of the righteous.”
In June 2016, Zakkout clicked ‘like’ under someone else’s Facebook posting (on Zakkout’s personal Facebook page) of a grotesque cartoon containing a worried-looking religious Jew hiding behind an animated tree with a bearded man brandishing a rifle coming towards them.",Name Calling,50,MEDIUM,This sentence uses insulting language to attack a target.,"You should learn to call them by their real name, ‘Satan.’ You’re coming face to face with Satan, the Arch Deceiver, the enemy of God, and the enemy of the righteous.” In June 2016, Zakkout clicked ‘like’ under someone else’s Facebook posting (on Zakkout’s personal Facebook page) of a grotesque cartoon containing a worried-looking religious Jew hiding behind an animated tree with a bearded man brandishing a rifle coming towards them."
"Come and kill him.”
In April 2016, Zakkout promoted a report discussing the absurd notion of Jewish involvement in the September 11th attacks on the World Trade Center and the Pentagon.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Come and kill him.” In April 2016, Zakkout promoted a report discussing the absurd notion of Jewish involvement in the September 11th attacks on the World Trade Center and the Pentagon."
"Soup to nuts, top to bottom, the 9/11/01 terrorist attacks on New York City and Washington D.C. were an ‘Israeli’-Jewish job.” The website which published the report and which Zakkout linked to is Mouqawamah Music, a site that openly calls for “Death to Israel” and labels the Jewish religion “wicked and filth-ridden.”
In February 2016, Zakkout circulated on social media a report claiming that “the Holocaust was faked.” It begins: “The alleged ‘Holocaust’ of ‘6 million Jews’ at the hands of Adolf Hitler and National Socialist Germany during WWII is the biggest lie ever foisted upon humanity.” It was produced by The Realist Report, an anti-Jew, anti-black, anti-gay independent media outlet, which describes Hitler as “the greatest leader in modern Western history.”
In December 2015, Zakkout posted a photo of Israel Defense Forces (IDF) Chief of Staff Gadi Eizenkot, who is a decorated veteran of many different wars and battles fought by Israel over the last three-plus decades.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Soup to nuts, top to bottom, the 9/11/01 terrorist attacks on New York City and Washington D.C. were an ‘Israeli’-Jewish job.” The website which published the report and which Zakkout linked to is Mouqawamah Music, a site that openly calls for “Death to Israel” and labels the Jewish religion “wicked and filth-ridden.” In February 2016, Zakkout circulated on social media a report claiming that “the Holocaust was faked.” It begins: “The alleged ‘Holocaust’ of ‘6 million Jews’ at the hands of Adolf Hitler and National Socialist Germany during WWII is the biggest lie ever foisted upon humanity.” It was produced by The Realist Report, an anti-Jew, anti-black, anti-gay independent media outlet, which describes Hitler as “the greatest leader in modern Western history.” In December 2015, Zakkout posted a photo of Israel Defense Forces (IDF) Chief of Staff Gadi Eizenkot, who is a decorated veteran of many different wars and battles fought by Israel over the last three-plus decades."
"If people like David Duke and Louis Farrakhan can be condemned and repudiated for spreading their toxic hate, their fan and propagator Zakkout can and must be as well.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"If people like David Duke and Louis Farrakhan can be condemned and repudiated for spreading their toxic hate, their fan and propagator Zakkout can and must be as well."
"It’s Airborne: Officials Warn That The “Black Death” Plague Could Spread Rapidly

The fears that the “black death” would spread from Madagascar have now taken hold.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,It’s Airborne: Officials Warn That The “Black Death” Plague Could Spread Rapidly The fears that the “black death” would spread from Madagascar have now taken hold.
"Dr. Ashok Chopra, a professor of microbiology and immunology at the University of Texas, told The Sun Online the crisis in Madagascar had yet to peak.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Dr. Ashok Chopra, a professor of microbiology and immunology at the University of Texas, told The Sun Online the issue in Madagascar had yet to peak."
The outbreak is considered a much bigger threat to the region than in previous years because it has taken on its pneumonic form.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,The outbreak is considered a much bigger threat to the region than in previous years because it has taken on its pneumonic form.
“I will always practice the turning of the bones of my ancestors — plague or no plague.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,“I will always practice the turning of the bones of my ancestors — plague or no plague.
"And I’ve never caught the plague,” she told the AFP.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"And I’ve never caught the plague,” she told the AFP."
"In practice, this prevents McGill’s Jewish community from defending itself against the absurd attacks to which it is subjected.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"In practice, this prevents McGill’s Jewish community from defending itself against the absurd attacks to which it is subjected."
"The notion that the CIA suddenly hit Trump yesterday with a new argument as to why “national security” would be threatened, after Trump had supposedly already rejected the arguments that had been presented to him, causing Trump to suddenly change his mind, is, well, laughable.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The notion that the CIA suddenly hit Trump yesterday with a new argument as to why “national security” would be threatened, after Trump had supposedly already rejected the arguments that had been presented to him, causing Trump to suddenly change his mind, is, well, laughable."
"To make certain that the CIA fulfills its part of the bargain, Trump would need the April deadline so that the threat of the records release would continue hanging over the CIA.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"To make certain that the CIA fulfills its part of the bargain, Trump would need the April deadline so that the threat of the records release would continue hanging over the CIA."
"that constituted a grave threat to “national security,” i.e., befriending the Russians (i.e., the Soviets) and Cubans and entering into peaceful coexistence with the communist world.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"that constituted a grave threat to “national security,” i.e., befriending the Russians (i.e., the Soviets) and Cubans and entering into peaceful coexistence with the communist world."
"After Oswald supposedly tried to defect to the Soviet Union and promised U.S. Embassy officials in Moscow that he was going to deliver classified information to the Soviet Union, which was America’s sworn Cold War enemy (and former World War II partner and ally), U.S. officials permitted him to return home with a Red wife, without even one grand-jury summons or even an iota of harassment.",Name Calling,50,MEDIUM,This sentence uses insulting language to attack a target.,"After Oswald supposedly tried to defect to the Soviet Union and promised U.S. Embassy officials in Moscow that he was going to deliver classified information to the Soviet Union, which was America’s sworn Cold War enemy (and former World War II partner and ally), U.S. officials permitted him to return home with a Red wife, without even one grand-jury summons or even an iota of harassment."
"Ever since the assassination, the CIA has argued that the release of any of its JFK records would threaten “national security.” One thing is for sure and undeniable: Despite the release of many of the CIA’s records in the 1990s and yesterday, the United States did not fall into the ocean or fall to the communists.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Ever since the assassination, the CIA has argued that the release of any of its JFK records would threaten “national security.” One thing is for sure and undeniable: Despite the release of many of the CIA’s records in the 1990s and yesterday, the United States did not fall into the ocean or fall to the communists."
"58 dead, hundreds wounded, the savagery of the Vegas attack is unspeakable, and still the incompetent, clueless authorities know nothing.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"58 dead, hundreds wounded, the savagery of the Vegas attack is unspeakable, and still the incompetent, clueless authorities know nothing."
The San Bernardino jihad attackers did the same thing.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,The San Bernardino jihad attackers did the same thing.
"If you recall, Syed Rizwan Farook and Tashfeen Malik threw their hard drives in a lake near their home, and despite Herculean efforts by law enforcement, the hard drives were never recovered.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"If you recall, Syed Rizwan Farook and Tashfeen Malik threw their hard drives in a lake near their home, and despite Herculean efforts by law enforcement, the hard drives were never recovered."
It wasn’t always like this.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,It wasn’t always like this.
"Kritarch Saris has apparently seen the SCOTUS writing on the wall, and perhaps had an attack of her legal conscience and decided that she will acquiesce on the major issue, but fight on a minor issue.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Kritarch Saris has apparently seen the SCOTUS writing on the wall, and perhaps had an attack of her legal conscience and decided that she will acquiesce on the major issue, but fight on a minor issue."
The rainy season poses a threat to the containment of the plague because outbreaks of this magnitude often seem to be seasonal.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,The rainy season poses a threat to the containment of the plague because outbreaks of this magnitude often seem to be seasonal.
The Foreign Office recently warned that the deadly outbreak is entering its most dangerous phase.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,The Foreign Office recently warned that the deadly outbreak is entering its most serious phase.
"Because the disease can be spread easily through a cough or sneeze, experts are fearful.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Because the disease can be spread easily through a cough or sneeze, experts are fearful."
"The country’s health chief Willy Randriamarotia said: “If a person dies of pneumonic plague and is then interred in a tomb that is subsequently opened for a Famadihana, the bacteria can still be transmitted and contaminate whoever handles the body.” The tradition has been banned since the outbreak began, but it is feared ceremonies have taken place regardless as local continue to balk that their rituals have contributed to the outbreak.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"The country’s health chief Willy Randriamarotia said: “If a person dies of pneumonic plague and is then interred in a tomb that is subsequently opened for a Famadihana, the bacteria can still be transmitted and contaminate whoever handles the body.” The tradition has been banned since the outbreak began, but it is feared ceremonies have taken place regardless as local continue to balk that their rituals have contributed to the outbreak."
"Olivier Le Guillou of Action Against Hunger said: “The epidemic is ahead of us, we have not yet reached the peak.”
As many as 50 aid workers are believed to have been among the 1,200 people infected with the more dangerous airborne pneumonic strain of the disease.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Olivier Le Guillou of Action Against Hunger said: “The epidemic is ahead of us, we have not yet reached the peak.” As many as 50 aid workers are believed to have been among the 1,200 people infected with the more serious airborne pneumonic strain of the disease."
Or at least to stop attacking them.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,Or at least to stop attacking them.
"Neither was involved in my writing the letter, and its publication will be news to them.”



“Bishops are quick learners,” he wrote in his letter, “and what many have learned from your pontificate is not that you are open to criticism, but that you resent it,” claiming that many bishops don’t speak out publicly for fear they will be “marginalized or worse.”



And sure enough, within hours of making his letter public, we learned that Fr.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Neither was involved in my writing the letter, and its publication will be news to them.” “Bishops are quick learners,” he wrote in his letter, “and what many have learned from your pontificate is not that you are open to criticism, but that you resent it,” claiming that many bishops don’t speak out publicly for fear they will be “marginalized or worse.” And sure enough, within hours of making his letter public, we learned that Fr."
"Of course, the Twitterverse is busy commenting on the irony: how a man expressing grave concerns that there is an atmosphere of fear of being punished for expressing grave concerns, was immediately fired.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Of course, the Twitterverse is busy commenting on the irony: how a man expressing grave concerns that there is an atmosphere of fear of being punished for expressing grave concerns, was immediately fired."
"Which, it must be said, only proves Fr.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Which, it must be said, only proves Fr."
"Just as Tom Weinandy has, in effect, just said.”



As I write this, the outrage is doing the opposite of dying down, and is surely a sign of how fed up Catholics – even those who would never identify themselves as Traditionalists – have become with this pope and his cadre of episcopal bullies.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Just as Tom Weinandy has, in effect, just said.” As I write this, the outrage is doing the opposite of dying down, and is surely a sign of how fed up Catholics – even those who would never identify themselves as Traditionalists – have become with this pope and his cadre of episcopal bullies."
"To me, the fact that he has chosen to write to express his concern about the crisis in the church and the papacy is very significant.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"To me, the fact that he has chosen to write to express his concern about the issue in the church and the papacy is  significant."
"Signaling furiously with the trendy FrancisChurch buzzwords and even trendier blithering incoherence, Muller writes that “mitigating factors in guilt,” can lead, couples in “an uncertain marital situation” through a “path of repentance” – always “accompanied” by an exquisitely sensitive confessor – to a point where the reception of Communion is no longer sinful.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Signaling furiously with the trendy FrancisChurch buzzwords and even trendier blithering incoherence, Muller writes that “mitigating factors in guilt,” can lead, couples in “an uncertain marital situation” through a “path of repentance” – always “accompanied” by an exquisitely sensitive confessor – to a point where the reception of Communion is no longer sinful."
"The question of Communion for divorced and civilly “remarried” Catholics, he said, has been “falsely elevated to the rank of a decisive question of Catholicism and a measure of ideological comparison in order to decide whether one is conservative or liberal, in favor or against the pope.”

For years under Pope Benedict, Muller was engaged in an open war with the German episcopate who insisted that they were going to allow Communion for the divorced and remarried, no matter what Rome said, even threatening to go into schism if they didn’t get their way[2].",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The question of Communion for divorced and civilly “remarried” Catholics, he said, has been “falsely elevated to the rank of a decisive question of Catholicism and a measure of ideological comparison in order to decide whether one is conservative or liberal, in favor or against the pope.” For years under Pope Benedict, Muller was engaged in an open war with the German episcopate who insisted that they were going to allow Communion for the divorced and remarried, no matter what Rome said, even threatening to go into schism if they didn’t get their way[2]."
"After that, I’m coming back to Saint Peter’s to have lunch with a seminary friend of mine.” “During that interval, I must meet someone that I know but have not seen in a very long time, and would never expect to see in Rome at this time.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"After that, I’m coming back to Saint Peter’s to have lunch with a seminary friend of mine.” “During that interval, I must meet someone that I know but have not seen in a  long time, and would never expect to see in Rome at this time."
"There Were “Active Shooters On The Runway” Bombshell Air Traffic Control Audio From The Night Of The Las Vegas Massacre Reveals

In yet another striking example of a widespread cover-up currently underway regarding the worst mass shooting in American history, new air traffic control audio has been released that details the fact that there were multiple active shooters on the airports property which is extremely close to the venue where at least part of the attack took place.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"There Were “Active Shooters On The Runway” Bombshell Air Traffic Control Audio From The Night Of The Las Vegas Massacre Reveals In yet another striking example of a widespread cover-up currently underway regarding the worst mass shooting in American history, new air traffic control audio has been released that details the fact that there were multiple active shooters on the airports property which is  close to the venue where at least part of the attack took place."
"While there have been countless stories since the attack that raise the very real possibility that this was a false flag, one has stood out due to the fact that the person who released the information died shortly after.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"While there have been countless stories since the attack that raise the  real possibility that this was a false flag, one has stood out due to the fact that the person who released the information died shortly after."
"As Shepard Ambellas reported in a now viral article, “Kymberley Suchomel, who posted her eyewitness account of the Las Vegas massacre in astonishingly vivid detail to her Facebook page on Oct. 4, subsequently passed away in her home on Oct. 9 from what reports are claiming are natural causes.”
“Shockingly, just days before her death, Suchomel posted key details about the shooting to Facebook that contradicted the official narrative which claims that Stephen Paddock was the lone gunman.”
From dozens of eyewitness reports, including Suchomel’s, that clearly indicate the presence of multiple shooters, to the possibility of helicopters being used in the attack, the American people are clearly not being told the truth.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"As Shepard Ambellas reported in a now viral article, “Kymberley Suchomel, who posted her eyewitness account of the Las Vegas massacre in astonishingly vivid detail to her Facebook page on Oct. 4, subsequently passed away in her home on Oct. 9 from what reports are claiming are natural causes.” “Shockingly, just days before her death, Suchomel posted key details about the shooting to Facebook that contradicted the official narrative which claims that Stephen Paddock was the lone gunman.” From dozens of eyewitness reports, including Suchomel’s, that clearly indicate the presence of multiple shooters, to the possibility of helicopters being used in the attack, the American people are clearly not being told the truth."
It is also important to keep in mind that multiple investigative reports conducted by other alternative media outlets have actually named government officials and private companies that may be behind the attack and so far there has been no official denial from either.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,It is also important to keep in mind that multiple investigative reports conducted by other alternative media outlets have actually named government officials and private companies that may be behind the attack and so far there has been no official denial from either.
The propaganda value of this system may be very high.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,The propaganda value of this system may be  high.
"While the CIA has never revealed the names of the people it targeted for assassination, there is little doubt that Arbenz, the president, was at the top of the list.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"While the CIA has never revealed the names of the people it targeted for assassination, there is little doubt that Arbenz, the president, was at the top of the list."
There is something important to note: Neither Arbenz nor any other Guatemalan official had ever attacked the United States or even threatened to do so.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,There is something important to note: Neither Arbenz nor any other Guatemalan official had ever attacked the United States or even threatened to do so.
"Keep in mind that this was the height of the Cold War between the United States and that the Cuban Missile Crisis, which brought the world to the brink of nuclear war, had taken place the previous year.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Keep in mind that this was the height of the Cold War between the United States and that the Cuban Missile Crisis, which brought the world to the brink of nuclear war, had taken place the previous year."
The issue was so sensitive that Warren ordered the members of the commission to never reveal the meeting to the American people.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,The issue was so sensitive that Warren ordered the members of the commission to never reveal the meeting to the American people.
He ordered all notes and other written references to be destroyed.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,He ordered all notes and other written references to be destroyed.
He also ordered the court reporter to destroy her notes of the meeting.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,He also ordered the court reporter to destroy her notes of the meeting.
"Shapira then proceeds to provide the answer that Helms gave, which, as he points out, has been public:
HELMS: Mr. Belin, this question, and I think you may recall this, was raised at the time and the Agency was never able to find any evidence whatsoever, and we really searched that it had any contact with Lee Harvey Oswald.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Shapira then proceeds to provide the answer that Helms gave, which, as he points out, has been public: HELMS: Mr. Belin, this question, and I think you may recall this, was raised at the time and the Agency was never able to find any evidence whatsoever, and we really searched that it had any contact with Lee Harvey Oswald."
He was certainly never used by the CIA.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,He was certainly never used by the CIA.
"A CIA official who would tell falsehoods, even under oath, whenever he felt that “national security” required it.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"A CIA official who would tell falsehoods, even under oath, whenever he felt that “national security” required it."
"At the same time, Deputy Attorney General Nicholas Katzenbach and FBI Head J. Edgar Hoover both write secret memos and reports saying any further investigation must stop immediately.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"At the same time, Deputy Attorney General Nicholas Katzenbach and FBI Head J. Edgar Hoover both write secret memos and reports saying any further investigation must stop immediately."
This is the atmosphere that Jewish students and supporters of Israel must endure on a daily basis at McGill.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,This is the atmosphere that Jewish students and supporters of Israel must endure on a daily basis at McGill.
"But in the instant case, McGill’s BDS campaigners dispensed with their traditional charade and overtly launched their attack against Jews.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"But in the instant case, McGill’s BDS campaigners dispensed with their traditional charade and overtly launched their attack against Jews."
"New Audio From The Night Of The Las Vegas Massacre Reveals That There Was “Another Active Shooter” In The Bar At The Top Of The Mandalay Bay Hotel During The Attack

Newly released audio from the Clark County Fire Department has provided even more proof that there were multiple shooters during The Las Vegas Massacre, further debunking the official narrative of a lone gunman on the 32nd floor and once again calling into question almost every aspect of what actually happened during the worst mass shooting in American history.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"New Audio From The Night Of The Las Vegas Massacre Reveals That There Was “Another Active Shooter” In The Bar At The Top Of The Mandalay Bay Hotel During The Attack Newly released audio from the Clark County Fire Department has provided even more proof that there were multiple shooters during The Las Vegas Massacre, further debunking the official narrative of a lone gunman on the 32nd floor and once again calling into question almost every aspect of what actually happened during the worst mass shooting in American history."
"“The only information I have is it’s the bar on top of the Mandalay Bay,” dispatch continues before being asked if the shooter was pinned down or “just sheltering right now?”
Interestingly, the story doesn’t end there, as Ambellas wrote in his piece, author and entrepreneur Grant Cardone was actually holding an investors meeting in the very same bar shortly before the attack took place.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"“The only information I have is it’s the bar on top of the Mandalay Bay,” dispatch continues before being asked if the shooter was pinned down or “just sheltering right now?” Interestingly, the story doesn’t end there, as Ambellas wrote in his piece, author and entrepreneur Grant Cardone was actually holding an investors meeting in the  same bar shortly before the attack took place."
"Then twitter started showing up with feeds suggesting multiple hotels being attacked, bomb threats, and more.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Then twitter started showing up with feeds suggesting multiple hotels being attacked, bomb threats, and more."
"They’re on the airport property” pic.twitter.com/HZf3LBeAgk — Mike Tokes (@MikeTokes) October 29, 2017
Slowly but surely we are beginning to see the truth about the horrific attack come to light despite authorities desperately trying to prevent it from reaching the American people.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"They’re on the airport property” pic.twitter.com/HZf3LBeAgk — Mike Tokes (@MikeTokes) October 29, 2017 Slowly but surely we are beginning to see the truth about the horrific attack come to light despite authorities desperately trying to prevent it from reaching the American people."
"Sadly, the picture emerging is one that includes a shocking amount of evidence pointing towards a classic deep state false flag operation.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Sadly, the picture emerging is one that includes a unexpected amount of evidence pointing towards a classic deep state false flag operation."
"This news comes amid a surge in cases of plague in Madagascar, which is considered to be the “worst outbreak in 50 years” and now at “crisis” point.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"This news comes amid a surge in cases of plague in Madagascar, which is considered to be the “worst outbreak in 50 years” and now at “crisis” point."
"Such behavior gives the impression that your views cannotsurvive theological scrutiny, and so must be sustained by “ad hominem” arguments.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Such behavior gives the impression that your views cannotsurvive theological scrutiny, and so must be sustained by “ad hominem” arguments."
"You have frequently encouraged… all persons, especially bishops, to speak their mind and not be fearful of what the pope may think.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"You have frequently encouraged… all persons, especially bishops, to speak their mind and not be fearful of what the pope may think."
"But… what many [bishops] have learned from your pontificate is not that you are open to criticism, but that you resent it… Many fear that if they speak their mind, they will be marginalized or worse.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"But… what many [bishops] have learned from your pontificate is not that you are open to criticism, but that you resent it… Many fear that if they speak their mind, they will be marginalized or worse."
"As he recounts here, after repeatedly “beseeching Jesus and Mary, St. Peter and all of the saintly popes who are buried there to do something to rectify the confusion and turmoil within the Church today, a chaos and an uncertainty that I felt Pope Francis had himself caused,” he asked for a minutely specific sign from heaven on whether he should write the letter: that the next day he would meet someone he had not seen in a very long time, would never expect to see in Rome, and was not from the United States, Canada or Great Britain, which person would utter the particular phrase: “Keep up the good writing.”

At lunch the next day, the sign was given.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"As he recounts here, after repeatedly “beseeching Jesus and Mary, St. Peter and all of the saintly popes who are buried there to do something to rectify the confusion and turmoil within the Church today, a chaos and an uncertainty that I felt Pope Francis had himself caused,” he asked for a minutely specific sign from heaven on whether he should write the letter: that the next day he would meet someone he had not seen in a  long time, would never expect to see in Rome, and was not from the United States, Canada or Great Britain, which person would utter the particular phrase: “Keep up the good writing.” At lunch the next day, the sign was given."
"An old friend he had not seen in more than twenty years and would never have expected to meet in Rome, who is now an archbishop, appeared suddenly from between two parked cars, renewed acquaintances and, referring to one of Father Weinandy’s books, said: “Keep up the good writing.”

Writes Fr.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"An old friend he had not seen in more than twenty years and would never have expected to meet in Rome, who is now an archbishop, appeared suddenly from between two parked cars, renewed acquaintances and, referring to one of Father Weinandy’s books, said: “Keep up the good writing.” Writes Fr."
"Weinandy’s very point about fearfulness and lack of transparency.”

Fr.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,Weinandy’s  point about fearfulness and lack of transparency.” Fr.
The plan that ultimately must fail may well fail even while Francis is attempting to carry it out.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,The plan that ultimately must fail may well fail even while Francis is attempting to carry it out.
"Professor Paul Hunter has warned that, while it would be rather easy for an advanced country to contain the disease in its current form, he fears that it could evolve into something far more dangerous.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Professor Paul Hunter has warned that, while it would be rather easy for an advanced country to contain the disease in its current form, he fears that it could evolve into something far more dangerous."
Traditionalists are often derided by neo-Catholic commentators for relying on supposedly apocryphal quotations from Popes or saints bearing on the current ecclesial crisis.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Traditionalists are often derided by neo-Catholic commentators for relying on supposedly apocryphal quotations from Popes or saints bearing on the current ecclesial crisis.
"But these critics never demonstrate that the oft-cited quotations are apocryphal; they merely assert that they must be, as they seem too probative to be true.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"But these critics never demonstrate that the oft-cited quotations are apocryphal; they merely assert that they must be, as they seem too probative to be true."
"This persistence of Mary about the dangers which menace the Church is a divine warning against the suicide that would be represented by the alteration of the faith, in her liturgy, her theology and her soul….",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"This persistence of Mary about the dangers which menace the Church is a divine warning against the suicide that would be represented by the alteration of the faith, in her liturgy, her theology and her soul…."
"I hear all around me innovators who wish to dismantle the Sacred Chapel, destroy the universal flame of the Church, reject her ornaments and make her feel remorse for her historical past.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"I hear all around me innovators who wish to dismantle the Sacred Chapel, destroy the universal flame of the Church, reject her ornaments and make her feel remorse for her historical past."
